City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Long,Max Temp,Wind Speed
320,alofi,0,NU,1554692400,66,-19.06,-169.92,86.0,8.05
321,richards bay,8,ZA,1554696006,99,-28.77,32.06,64.26,3.71
322,srandakan,0,ID,1554695772,87,-7.94,110.25,83.25,4.16
323,maragogi,92,BR,1554695811,94,-9.01,-35.22,78.21,3.38
324,meulaboh,44,ID,1554696024,100,4.14,96.13,83.43,0.58
325,kailua,75,US,1554695737,61,21.39,-157.74,80.01,8.05
326,kisangani,88,CD,1554696026,99,0.52,25.21,74.7,2.37
327,teahupoo,20,PF,1554694347,62,-17.83,-149.27,89.01,4.7
328,vanavara,0,RU,1554696028,65,60.35,102.28,28.62,7.63
329,ekibastuz,0,KZ,1554696030,52,51.72,75.32,35.73,4.94
330,chernushka,88,RU,1554696031,96,56.5,56.08,34.29,7.52
331,glens falls,40,US,1554696028,65,43.31,-73.64,57.99,5.82
332,ostrovnoy,76,RU,1554696033,85,68.05,39.51,24.48,7.96
333,port hawkesbury,75,CA,1554696020,58,45.62,-61.36,27.0,12.75
334,alekseyevsk,76,RU,1554696035,52,57.84,108.35,34.74,7.18
335,samarai,92,PG,1554696036,100,-10.62,150.67,78.66,6.96
336,longkou,68,CN,1554696037,70,37.64,120.47,51.3,20.38
337,seddon,0,NZ,1554696004,66,-41.67,174.07,61.0,1.99
338,madaras,0,RS,1554691500,76,46.06,19.26,48.2,6.93
339,imeni poliny osipenko,32,RU,1554696040,69,52.42,136.49,40.23,6.17
340,togur,24,RU,1554696041,85,58.36,82.83,30.69,8.19
341,marfino,0,RU,1554695888,69,56.07,37.56,39.0,6.71
342,bokaro,8,IN,1554696043,83,23.65,86.15,76.32,4.38
343,pundaguitan,12,PH,1554696044,92,6.37,126.17,83.79,2.37
344,vilyuysk,0,RU,1554696045,60,63.75,121.63,36.81,6.4
345,qax,90,AZ,1554692400,100,41.42,46.93,53.6,4.7
346,ibra,12,OM,1554696047,52,22.69,58.55,65.61,1.36
347,suez,80,EG,1554696048,92,29.97,32.54,60.66,3.6
348,college,1,US,1554695753,32,64.86,-147.8,55.4,10.29
349,celestun,64,MX,1554696050,81,20.87,-90.4,84.87,8.52
350,finschhafen,88,PG,1554696051,91,-6.6,147.85,76.86,1.92
351,prainha,88,BR,1554695884,100,-1.8,-53.48,74.34,6.17
352,ulladulla,0,AU,1554696000,19,-35.36,150.48,87.8,19.46
353,broken hill,0,AU,1554692400,23,-31.97,141.45,84.2,9.17
354,rawson,0,AR,1554696055,72,-43.3,-65.11,56.7,9.31
355,hajnowka,0,PL,1554696000,84,52.74,23.58,37.0,2.93
356,muros,40,ES,1554695906,93,42.77,-9.06,55.0,3.36
357,sandata,88,RU,1554696058,96,46.27,41.76,48.6,8.97
358,calama,0,CL,1554692400,40,-22.46,-68.93,51.8,12.75
359,tura,0,IN,1554695993,90,25.52,90.21,71.1,3.71
360,nanakuli,75,US,1554695737,65,21.39,-158.15,80.6,6.93
361,cockburn town,36,TC,1554696062,97,21.46,-71.14,78.75,18.37
362,piacabucu,92,BR,1554696063,73,-10.41,-36.43,81.36,7.07
363,nuuk,68,GL,1554691800,86,64.17,-51.74,30.2,5.82
364,guerrero negro,0,MX,1554696065,50,27.97,-114.04,69.84,11.99
365,urusha,20,RU,1554696066,33,54.05,122.9,38.52,6.4
366,huangzhai,44,CN,1554696067,92,23.86,112.01,76.23,4.16
367,santa vitoria do palmar,0,BR,1554696020,91,-33.52,-53.37,57.6,5.61
368,cabedelo,40,BR,1554692400,94,-6.97,-34.84,77.0,2.24
369,vila,68,IT,1554696064,100,45.18,8.4,46.0,4.7
370,port hardy,75,CA,1554692400,66,50.7,-127.42,48.2,4.7
371,port blair,0,IN,1554695899,100,11.67,92.75,84.6,2.82
372,mitu,64,IR,1554696072,91,36.2,46.09,39.06,2.26
373,lethem,8,GY,1554696073,54,3.38,-59.8,84.51,14.12
374,bure,92,NG,1554696074,46,10.52,10.33,79.92,3.27
375,aklavik,90,CA,1554692400,61,68.22,-135.01,12.2,5.82
376,hambantota,20,LK,1554693000,79,6.12,81.12,86.0,4.7
377,geraldton,90,CA,1554695220,92,49.72,-86.95,28.4,19.46
378,kapit,12,MY,1554696078,78,2.02,112.94,84.6,2.82
379,yenagoa,64,NG,1554696079,88,4.92,6.26,78.39,5.39
380,puchheim,92,DE,1554696079,93,48.17,11.35,48.2,10.29
381,bandar-e lengeh,64,IR,1554692400,61,26.56,54.88,78.8,11.43
382,itaituba,76,BR,1554696082,98,-4.26,-55.99,75.15,2.04
383,mindelo,40,PT,1554696063,87,41.31,-8.72,54.0,3.36
384,menongue,44,AO,1554696084,89,-14.66,17.68,64.8,2.93
385,mitsamiouli,20,KM,1554692400,74,-11.38,43.28,80.6,8.05
386,itarema,12,BR,1554696086,96,-2.92,-39.92,75.33,6.73
387,luxor,88,EG,1554692400,49,25.7,32.65,73.4,4.38
388,altamira,88,BR,1554696088,96,-3.2,-52.21,72.99,3.94
389,pangody,8,RU,1554696089,89,65.85,74.49,21.6,8.41
390,olavarria,0,AR,1554696091,59,-36.89,-60.32,55.8,3.49
391,moron,88,VE,1554696092,91,10.49,-68.2,69.3,3.04
392,carmagnola,0,IT,1554696075,100,44.85,7.72,45.0,3.36
393,kurchum,0,KZ,1554696094,76,48.57,83.65,37.98,8.63
394,el real de santa maria,8,PA,1554696095,100,8.11,-77.73,73.89,3.38
395,ketchikan,40,US,1554694140,81,55.34,-131.65,44.6,13.87
396,husavik,64,CA,1554695717,96,50.56,-96.99,39.99,3.94
397,uvat,36,RU,1554696097,82,59.14,68.9,35.82,7.4
398,glendale,1,US,1554696060,49,34.14,-118.25,73.4,10.29
399,labuhan,88,ID,1554696099,89,-2.54,115.51,80.46,2.82
400,kamennogorsk,90,RU,1554695945,86,60.95,29.13,39.99,5.82
401,otane,92,NZ,1554696016,81,-39.89,176.62,59.0,3.0
402,daru,88,SL,1554696102,98,7.99,-10.85,71.46,3.94
403,golden,0,CA,1554696103,72,51.3,-116.96,25.56,1.81
404,porbandar,20,IN,1554692400,94,21.64,69.61,75.2,7.07
